Name,Business,Address,City,Province,Postal Code,phone
Sheilah Laffan,Quite a Stretch,672 Fennell Ave East,Hamilton,Ontario,L8V 1V2,905-906-8598
Rachel,Alchemy Yoga & Wellness Studio,4099 Portage Road,Niagara Falls,Ontario,L2E 6A2,905-341-5930
Ray C,Ray Yoga Studio,2550 Argentia Road,Mississauga,Ontario,L5N 5R1,647-477-5777
Marianne Jezerinac,Rebirth Yoga Studio,89 Queen St South,Mississauga,Ontario,L5M 1K7,647-864-7119
,Rebirth Yoga Studio,"821 Main St E, Milton",Milton,Ontario,L9T 3Z3,647-864-7119
Sabina Erlich,Hatch Yoga,626 Burnhamthorpe Rd,Mississauga,Ontario,L5B 2C4,905-232-2292
Donna Sellers,Yoga Spiritus,4 Lake Crescent,Etobicoke,Ontario,M8V 1V8,416-859-0585
Kasey Goldstraw,Tranquility Wellnessand Yoga,623 The Queensway,Etobicoke,Ontario,M8Y 1K4,647-352-5777
,Yoga Village,240 Roncesvalles Ave.,Toronto,Ontario,M6R 2L8,
,Beaches Hot Yoga,1911 Queen St. East,Toronto,Ontario,M4L 1H3,416-686-2584
Victoria Fodor,Unity Yoga + Movement,622 Mt. Pleasant Rd,Toronto,Ontario,M4S 2M8,647-860-9642
David Robson,Ashtanga Toronto,3215A Yonge Street,Toronto,Ontario,M4N 2L3,647-342-6550
